1483034315.224	#0	112450	20092	130	92140	88	112056	23	1487	0	200
1483034315.593	#1	4023	66	15	3774	168	3775	23	1487	0	200
1483034315.783	#2	5018	80	14	4838	86	4839	23	1487	0	200
1483034315.930	#3	7868	140	111	7560	57	7563	23	1487	0	200
1483034316.054	#4	5729	82	15	5550	82	5550	23	1487	0	200
1483034316.164	#5	9545	113	23	9302	107	9303	23	1487	0	200
1483034316.263	#6	3869	123	94	3566	86	3564	23	1487	0	200
1483034316.355	#7	5561	86	85	5281	109	5281	23	1487	0	200
1483034316.440	#8	7588	129	28	7348	83	7351	23	1487	0	200
1483034316.519	#9	8242	133	34	8021	54	8026	23	1487	0	200
1483034316.595	#10	6109	70	14	5989	36	5990	23	1487	0	200
1483034316.667	#11	4122	96	85	3905	36	3903	23	1487	0	200
1483034316.736	#12	10033	73	14	9881	65	9881	23	1487	0	200
1483034316.802	#13	5380	78	19	5093	190	4550	23	1487	0	200
1483034316.865	#14	3474	113	18	3305	38	3305	23	1487	0	200
1483034316.925	#15	5107	73	17	4976	41	4976	23	1487	0	200
1483034316.987	#16	5391	68	14	5268	41	5269	23	1487	0	200
1483034317.043	#17	6061	62	14	5939	46	5938	23	1487	0	200
1483034317.099	#18	4068	72	15	3930	51	3932	23	1487	0	200
1483034317.153	#19	4030	69	17	3902	42	3903	23	1487	0	200
1483034317.205	#20	3897	146	16	3661	74	3664	23	1487	0	200
1483034317.257	#21	10103	90	19	9937	57	9938	23	1487	0	200
1483034317.308	#22	10957	156	35	10720	46	10725	23	1487	0	200
1483034317.357	#23	10574	170	615	9627	162	9624	23	1487	0	200
1483034317.405	#24	3898	83	17	3719	79	3719	23	1487	0	200
1483034317.453	#25	4129	88	19	3872	150	3940	23	1487	0	200
1483034317.499	#26	4068	87	42	3875	64	3876	23	1487	0	200
1483034317.544	#27	7159	81	15	7001	62	7003	23	1487	0	200
1483034317.588	#28	5304	62	14	5191	37	5192	23	1487	0	200
1483034317.635	#29	7990	69	15	7870	36	7872	23	1487	0	200
1483034317.675	#30	6400	145	21	6168	66	6170	23	1487	0	200
1483034317.717	#31	5312	137	26	5069	80	5073	23	1487	0	200
1483034317.758	#32	8182	188	24	7911	59	7913	23	1487	0	200
1483034317.800	#33	8414	171	32	8087	124	8093	23	1487	0	200
1483034317.840	#34	6790	84	20	6433	253	6538	23	1487	0	200
1483034317.880	#35	6524	356	50	6012	106	6042	23	1487	0	200
1483034317.919	#36	3278	81	16	3114	67	3115	23	1487	0	200
1483034317.958	#37	2978	274	24	2614	66	2620	23	1487	0	200
1483034317.996	#38	10484	81	15	10328	60	10329	23	1487	0	200
1483034318.034	#39	4774	83	40	4575	76	4573	23	1487	0	200
1483034318.071	#40	4410	110	15	4227	58	4227	23	1487	0	200
1483034318.108	#41	4938	79	16	4705	138	4705	23	1487	0	200
1483034318.144	#42	10342	140	28	10112	62	10118	23	1487	0	200
1483034318.179	#43	4268	82	16	4090	80	4091	23	1487	0	200
1483034318.217	#44	3643	68	14	3500	61	3502	23	1487	0	200
1483034318.259	#45	14248	137	21	14020	70	13994	23	1487	0	200
1483034318.285	#46	21649	123	19	20458	1049	20449	23	1487	0	200
1483034318.319	#47	5161	114	46	4945	56	4947	23	1487	0	200
1483034318.353	#48	10812	95	37	10578	102	10576	23	1487	0	200
1483034318.386	#49	11523	145	36	11258	84	11260	23	1487	0	200
1483034318.420	#50	4715	140	94	4411	70	4414	23	1487	0	200
1483034318.452	#51	4854	195	22	4578	59	4581	23	1487	0	200
1483034318.485	#52	5626	126	29	5407	64	5409	23	1487	0	200
1483034318.517	#53	3834	83	16	3677	58	3677	23	1487	0	200
1483034318.549	#54	3116	77	15	2966	58	2967	23	1487	0	200
1483034318.581	#55	4776	85	16	4615	60	4617	23	1487	0	200
1483034318.612	#56	3458	68	14	3340	36	3340	23	1487	0	200
