1483034111.294	#0	27089	26274	112	623	80	26238	64	185	0	404
1483034111.662	#1	1290	190	43	982	75	981	58	185	0	404
1483034111.853	#2	724	71	16	595	42	594	64	185	0	404
1483034112.000	#3	2543	73	17	2417	36	2416	58	185	0	404
1483034112.123	#4	595	91	91	347	66	348	64	185	0	404
1483034112.233	#5	569	90	93	319	67	320	58	185	0	404
1483034112.333	#6	550	102	21	367	60	370	64	185	0	404
1483034112.425	#7	510	99	95	250	66	252	58	185	0	404
1483034112.509	#8	625	84	17	469	55	467	64	185	0	404
1483034112.589	#9	458	58	14	357	29	359	58	185	0	404
1483034112.665	#10	675	110	42	489	34	491	64	185	0	404
1483034112.736	#11	483	66	16	370	31	373	58	185	0	404
1483034112.808	#12	1059	147	36	698	178	702	64	185	0	404
1483034112.871	#13	580	84	16	426	54	428	58	185	0	404
1483034112.934	#14	506	81	16	354	55	357	64	185	0	404
1483034112.996	#15	556	78	17	406	55	408	58	185	0	404
1483034113.055	#16	514	93	19	348	54	350	64	185	0	404
1483034113.112	#17	1242	154	28	959	101	961	58	185	0	404
1483034113.168	#18	489	80	16	341	52	344	64	185	0	404
1483034113.222	#19	566	75	17	419	55	421	58	185	0	404
1483034113.276	#20	582	82	20	408	72	411	64	185	0	404
1483034113.327	#21	528	97	92	259	80	260	58	185	0	404
1483034113.378	#22	849	169	130	474	76	469	64	185	0	404
1483034113.427	#23	523	68	16	404	35	407	58	185	0	404
1483034113.474	#24	497	93	94	245	65	247	64	185	0	404
1483034113.522	#25	605	80	17	451	57	454	58	185	0	404
1483034113.569	#26	892	135	17	680	60	682	64	185	0	404
1483034113.613	#27	609	65	16	473	55	476	58	185	0	404
1483034113.659	#28	547	85	96	261	105	262	64	185	0	404
1483034113.701	#29	572	73	15	408	76	410	58	185	0	404
1483034113.745	#30	1044	133	27	721	163	722	64	185	0	404
1483034113.786	#31	551	85	91	283	92	282	58	185	0	404
1483034113.828	#32	929	142	34	698	55	701	64	185	0	404
1483034113.870	#33	920	255	132	449	84	448	58	185	0	404
1483034113.910	#34	1022	66	121	709	126	708	64	185	0	404
1483034113.950	#35	709	100	22	550	37	555	58	185	0	404
1483034113.988	#36	518	71	17	361	69	365	64	185	0	404
1483034114.028	#37	429	88	14	295	32	296	58	185	0	404
1483034114.065	#38	569	73	17	403	76	406	64	185	0	404
1483034114.103	#39	477	62	31	349	35	351	58	185	0	404
1483034114.140	#40	508	102	15	358	33	360	64	185	0	404
1483034114.177	#41	546	66	17	430	33	433	58	185	0	404
1483034114.214	#42	575	73	17	449	36	450	64	185	0	404
1483034114.250	#43	1029	215	126	499	189	500	58	185	0	404
1483034114.285	#44	540	88	86	302	64	304	64	185	0	404
1483034114.320	#45	809	118	27	602	62	603	58	185	0	404
1483034114.361	#46	1832	1211	138	330	153	331	64	185	0	404
1483034114.388	#47	1760	237	467	949	107	948	58	185	0	404
1483034114.422	#48	918	145	155	487	131	482	64	185	0	404
1483034114.456	#49	591	103	109	307	72	311	58	185	0	404
1483034114.489	#50	680	111	109	292	168	295	64	185	0	404
1483034114.522	#51	563	103	94	290	76	292	58	185	0	404
1483034114.555	#52	484	67	16	370	31	372	64	185	0	404
1483034114.586	#53	493	66	16	379	32	383	58	185	0	404
1483034114.618	#54	471	54	13	371	33	372	64	185	0	404
1483034114.651	#55	573	151	22	356	44	361	58	185	0	404
1483034114.681	#56	576	68	16	460	32	463	64	185	0	404
1483034114.713	#57	635	91	90	368	86	368	58	185	0	404
1483034114.743	#58	518	90	93	271	64	272	64	185	0	404
